 1.616123021E-01 1.120033979E+00 
 1.591318399E-01 1.118026137E+00 
 1.566513628E-01 1.116037965E+00 
 1.541708857E-01 1.114073157E+00 
 1.516904235E-01 1.112686276E+00 
 1.492099464E-01 1.111374259E+00 
 1.467294693E-01 1.108426094E+00 
 1.444398016E-01 1.104178190E+00 
 1.419593394E-01 1.100580215E+00 
 1.394788623E-01 1.095855355E+00 
 1.369983852E-01 1.089005113E+00 
 1.345179081E-01 1.081145406E+00 
 1.320374459E-01 1.073971510E+00 
 1.295569688E-01 1.067293048E+00 
 1.270765066E-01 1.060010552E+00 
 1.247868314E-01 1.051300287E+00 
 1.223063618E-01 1.041002274E+00 
 1.198258922E-01 1.027295470E+00 
 1.173454225E-01 1.008510232E+00 
 1.148649380E-01 9.845353365E-01 
 1.123844683E-01 9.599520564E-01 
 1.099039987E-01 9.339805841E-01 
 1.074235290E-01 9.068170786E-01 
 1.049430594E-01 8.775953650E-01 
 1.026533842E-01 8.442474604E-01 
 1.001729146E-01 7.973498106E-01 
 9.769244492E-02 7.446420789E-01 
 9.521197528E-02 6.930033565E-01 
 9.273150563E-02 6.440863013E-01 
 9.025102109E-02 5.961585641E-01 
 8.777055144E-02 5.515489578E-01 
 8.529008180E-02 5.079089999E-01 
 8.300042152E-02 4.676650167E-01 
 8.051995188E-02 4.234722853E-01 
 7.803946733E-02 3.826412857E-01 
 7.555899769E-02 3.445238471E-01 
 7.307852805E-02 3.082407713E-01 
 7.059805840E-02 2.701643407E-01 
 6.811758131E-02 2.294393927E-01 
 6.563711166E-02 1.919815838E-01 
 6.334744394E-02 1.591420174E-01 
 6.086697429E-02 1.240901425E-01 
 5.838649720E-02 9.007543325E-02 
 5.590602756E-02 5.964418873E-02 
 5.342555791E-02 3.127866983E-02 
 5.094508082E-02 5.272803362E-03 
 4.846461117E-02 -1.673739962E-02
 4.598414153E-02 -3.695979714E-02
 4.350366443E-02 -5.829982832E-02
 4.121399671E-02 -8.063500375E-02
 3.873352706E-02 -1.028339267E-01
 3.625305369E-02 -1.217977181E-01
 3.377258405E-02 -1.379414052E-01
 3.129211068E-02 -1.535077691E-01
 2.881163917E-02 -1.676043570E-01
 2.633116581E-02 -1.834582537E-01
 2.385069616E-02 -1.972346008E-01
 2.156102844E-02 -2.079745680E-01
 1.908055507E-02 -2.175187469E-01
 1.660008356E-02 -2.296813577E-01
 1.411961112E-02 -2.424381226E-01
 1.163913868E-02 -2.577902675E-01
 9.158667177E-03 -2.442996055E-01
 6.678195205E-03 -2.086922526E-01
